"Data";"Instituto";"Dilma (PT)";"Aecio (PSDB)";"Marina (PSB)";"Br Nulo Nenhum";"NS NR";"Eduardo (PSB)";"Br Nulo Nenhum NS NR";"Entrevistas";"Numero Registro";"link"
2014-04-03;"Datafolha";51;;;17;5;27;;2637;"BR-00064/2014";"http://media.folha.uol.com.br/datafolha/2014/04/07/intencao-de-voto-presidente.pdf"
2014-03-17;"Ibope";47;20;;25;9;;;2002;"BR-00031/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0311_BRASIL_Relatorio_de_tabelas.pdf"
2014-03-17;"Ibope";45;;21;24;10;;;2002;"BR-00031/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0311_BRASIL_Relatorio_de_tabelas.pdf"
2014-03-17;"Ibope";47;;;26;11;16;;2002;"BR-00031/2014";"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_0311_BRASIL_Relatorio_de_tabelas.pdf"
2014-02-20;"Datafolha";54;27;;16;4;;;2614;"BR-00015/2014";"http://media.folha.uol.com.br/datafolha/2014/02/24/intencao-de-voto-presidente-2014.pdf"
2014-02-20;"Datafolha";50;;35;12;3;;;2614;"BR-00015/2014";"http://media.folha.uol.com.br/datafolha/2014/02/24/intencao-de-voto-presidente-2014.pdf"
2014-02-20;"Datafolha";55;;;17;4;23;;2614;"BR-00015/2014";"http://media.folha.uol.com.br/datafolha/2014/02/24/intencao-de-voto-presidente-2014.pdf"
2014-02-14;"MDA";46,6;23,4;;20,8;9;;;2002;"BR-00012/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20FEVEREIRO2014%20-%20R117%20-%20FINAL.pdf"
2014-02-14;"MDA";44,6;;26,6;19,9;8,9;;;2002;"BR-00012/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20FEVEREIRO2014%20-%20R117%20-%20FINAL.pdf"
2014-02-14;"MDA";48,6;;;23,9;9,5;18;;2002;"BR-00012/2014";"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20FEVEREIRO2014%20-%20R117%20-%20FINAL.pdf"
2013-11-11;"Ibope";47;18;;22;13;;;2002;;"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_1834_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas.pdf"
2013-11-11;"Ibope";44;;24;19;13;;;2002;;"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_1834_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas.pdf"
2013-11-11;"Ibope";48;;;24;16;12;;2002;;"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_1834_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas.pdf"
2013-11-04;"MDA";46,6;24,2;;21,9;7,2;;;2005;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20NOVEMBRO2013%20-%20R116%20-%20FINAL.pdf"
2013-11-04;"MDA";45,3;;29,1;19,3;6,3;;;2005;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20NOVEMBRO2013%20-%20R116%20-%20FINAL.pdf"
2013-11-04;"MDA";49,2;;;24,8;8,4;17,5;;2005;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/Relatorio%20SINTESE%20-%20CNT%20NOVEMBRO2013%20-%20R116%20-%20FINAL.pdf"
2013-10-21;"Ibope";47;19;;22;11;;;2002;;"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_1642_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas%20(divulga%C3%A7%C3%A3o)%20(2).pdf"
2013-10-21;"Ibope";42;;29;18;11;;;2002;;"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_1642_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas%20(divulga%C3%A7%C3%A3o)%20(2).pdf"
2013-10-21;"Ibope";45;;;24;14;18;;2002;;"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_1642_BRASIL%20-%20Relat%C3%B3rio%20de%20tabelas%20(divulga%C3%A7%C3%A3o)%20(2).pdf"
2013-10-13;"Vox Populi";47;27;;17;9;;;2200;;"http://www.cartacapital.com.br/politica/vox-populi-dilma-segue-lider-em-todos-os-cenarios-e-pode-vencer-no-1o-turno-9744.html"
2013-10-13;"Vox Populi";48;;;19;10;23;;2200;;"http://www.cartacapital.com.br/politica/vox-populi-dilma-segue-lider-em-todos-os-cenarios-e-pode-vencer-no-1o-turno-9744.html"
2013-10-11;"Datafolha";54;31;;12;4;;;2517;;"http://media.folha.uol.com.br/datafolha/2013/10/14/intencao-de-voto-presidente.pdf"
2013-10-11;"Datafolha";47;;41;8;3;;;2517;;"http://media.folha.uol.com.br/datafolha/2013/10/14/intencao-de-voto-presidente.pdf"
2013-10-11;"Datafolha";54;;;13;5;28;;2517;;"http://media.folha.uol.com.br/datafolha/2013/10/14/intencao-de-voto-presidente.pdf"
2013-09-16;"Ibope";45;21;;20;15;;;2002;;"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_1394_Pesquisa_IBOPE_Estad%C3%A3o_Relatorio%20de%20tabelas.pdf"
2013-09-16;"Ibope";43;;26;17;14;;;2002;;"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_1394_Pesquisa_IBOPE_Estad%C3%A3o_Relatorio%20de%20tabelas.pdf"
2013-09-16;"Ibope";46;;;23;17;14;;2002;;"http://www.ibope.com.br/pt-br/noticias/Documents/JOB_1394_Pesquisa_IBOPE_Estad%C3%A3o_Relatorio%20de%20tabelas.pdf"
2013-09-04;"MDA";44;24,5;;25;6,5;;;2002;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_pesquisa_cnt_mda_115_10092013.pdf"
2013-09-04;"MDA";40,7;;31,9;20,7;6,7;;;2002;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_pesquisa_cnt_mda_115_10092013.pdf"
2013-09-04;"MDA";46,7;;;28,8;7,7;16,8;;2002;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_pesquisa_cnt_mda_115_10092013.pdf"
2013-08-09;"Datafolha";53;29;;15;4;;;2615;;"http://media.folha.uol.com.br/datafolha/2013/08/12/intencao-de-voto-presidente-2014.pdf"
2013-08-09;"Datafolha";46;;41;11;2;;;2615;;"http://media.folha.uol.com.br/datafolha/2013/08/12/intencao-de-voto-presidente-2014.pdf"
2013-08-09;"Datafolha";55;;;18;4;23;;2615;;"http://media.folha.uol.com.br/datafolha/2013/08/12/intencao-de-voto-presidente-2014.pdf"
2013-07-04;"MDA";39,6;26,2;;28;6,2;;;2000;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_pesquisa_cnt_mda_115_10092013.pdf"
2013-07-04;"MDA";38,2;;30,5;25,2;6,1;;;2002;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_pesquisa_cnt_mda_115_10092013.pdf"
2013-07-04;"MDA";42,1;;;32;7,5;17,7;;2000;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa%20CNT%20MDA/relatorio_pesquisa_cnt_mda_115_10092013.pdf"
2013-06-05;"MDA";58,8;22,5;;12,1;6,6;;;2010;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa_CNT_MDA_Relatorio%20SINTESE%20-%20CNT%20JUNHO2013%20-%20R113%20-%20FINAL.pdf"
2013-06-05;"MDA";59,7;;20,4;13,4;6,5;;;2010;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa_CNT_MDA_Relatorio%20SINTESE%20-%20CNT%20JUNHO2013%20-%20R113%20-%20FINAL.pdf"
2013-06-05;"MDA";63,8;;;16;7,9;11,9;;2010;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Pesquisa_CNT_MDA_Relatorio%20SINTESE%20-%20CNT%20JUNHO2013%20-%20R113%20-%20FINAL.pdf"
2012-07-29;"MDA";69;;;15;3,6;12,4;;2000;;"http://www.cnt.org.br/Imagens%20CNT/PDFs%20CNT/Microsoft%20Word%20-%20Microsoft%20Word%20-%20PESQUISA_CNT_OPINIAO_112_ULTIMA.pdf"
