"Data";"Instituto";"Lula (PT)";"Geraldo Alckmin (PSDB)";"José Serra (PSDB)";"Garotinho (PMDB)";"Aécio Neves (PSDB)";"FHCPSDB";"Heloísa Helena (PSOL)";"Germano Rigotto (PMDB)";"Pedro Simon (PMDB)";"Votos Nao-Validos";"link";"Entrevistas";"Local Registro";"Margem de Erro";"Numero Registro"
2006-06-07;"Ibope";57;;;;;;21;;;22;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"8308/2006"
2006-06-07;"Ibope";60;;;;;;;;15;25;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"8308/2006"
2006-06-24;"Vox Populi";47;39;;;;;;;;14;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";2,2;"10006/2006"
2006-06-29;"Datafolha";51;40;;;;;;;;10;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2828;"TSE";2;"9922/2006"
2006-07-06;"Sensus";54,7;;;;;;22,6;;;22,7;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";3;"10382/2006"
2006-07-06;"Sensus";48,6;35,8;;;;;;;;15,7;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";3;"10382/2006"
2006-07-12;"Vox Populi";45;40;;;;;;;;15;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2003;"TSE";2,2;"10736/2006"
2006-07-18;"Datafolha";50;40;;;;;;;;11;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";6264;"TSE";2;"11149/2006"
2006-07-24;"Ibope";48;39;;;;;;;;13;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"11637/2006"
2006-07-31;"Ibope";50;36;;;;;;;;14;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"12197/2006"
2006-08-04;"Sensus";56,9;;;;;;22,7;;;20,4;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";3;"12310/2006"
2006-08-04;"Sensus";52,5;29,8;;;;;;;;17,8;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";3;"12310/2006"
2006-08-08;"Datafolha";54;37;;;;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";6969;"TSE";2;"12633/2006"
2006-08-08;"Datafolha";54;;;;;;35;;;11;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";6969;"TSE";2;"12633/2006"
2006-08-17;"Ibope";53;32;;;;;;;;14;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"13290/2006"
2006-08-22;"Datafolha";55;36;;;;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";6279;"TSE";2;"13889/2006"
2006-08-25;"Sensus";56,7;30,8;;;;;;;;12,6;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";3;"14150/2006"
2006-08-27;"Vox Populi";54;35;;;;;;;;11;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";2,2;"14782/2006"
2006-08-29;"Datafolha";55;37;;;;;;;;8;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2863;"TSE";2;"14772/2006"
2006-08-31;"Ibope";51;36;;;;;;;;13;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"14820/2006"
2006-09-05;"Datafolha";55;37;;;;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";7724;"TSE";2;"15747/2006"
2006-09-07;"Ibope";51;37;;;;;;;;11;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";3010;"TSE";2;"15882/2006"
2006-09-12;"Datafolha";55;38;;;;;;;;7;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";3817;"TSE";2;"16883/2006"
2006-09-19;"Datafolha";56;37;;;;;;;;7;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";;;;
2006-09-20;"Ibope";52;37;;;;;;;;11;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";3010;"TSE";2;"18052/2006"
2006-09-22;"Datafolha";54;39;;;;;;;;8;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";4319;"TSE";2;"18862/2006"
2006-09-22;"Ibope";50;41;;;;;;;;9;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2002;"TSE";2;"18767/2006"
2006-09-24;"Sensus";55,6;33,7;;;;;;;;10,8;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";2000;"TSE";3;"19329/2006"
2006-09-26;"Ibope";52;40;;;;;;;;8;"http://noticias.uol.com.br/fernandorodrigues/arquivos/pesquisas/pais/2006/1turno/pe_presidente-2006.jhtm";3010;"TSE";2;"19547/2006"
